1, MASSACHUSETTS INSTITUTE OF TECHNOLOGY
2, STANFORD UNIVERSITY
3, HARVARD UNIVERSITY
4, CALIFORNIA INSTITUTE OF TECHNOLOGY
5, UNIVERSITY OF OXFORD
6, UNIVERSITY OF CAMBRIDGE
7, SWISS FEDERAL INSTITUTE OF TECHNOLOGY
8, IMPERIAL COLLEGE LONDON
9, UNIVERSITY OF CHICAGO
10, UNIVERSITY COLLEGE LONDON
11, NATIONAL UNIVERSITY OF SINGAPORE
12, NANYANG TECHNOLOGICAL UNIVERSITY
13, PRINCETON UNIVERSITY
14, CORNELL UNIVERSITY
15, YALE UNIVERSITY
16, COLUMBIA UNIVERSITY
17, TSINGHUA UNIVERSITY
18, UNIVERSITY OF EDINBURGH
19, UNIVERSITY OF PENNSYLVANIA
20, UNIVERSITY OF MICHIGAN
21, JOHNS HOPKINS UNIVERSITY
22, ÉCOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE
23, UNIVERSITY OF TOKYO
24, AUSTRALIAN NATIONAL UNIVERSITY
25, UNIVERSITY OF HONG KONG
26, DUKE UNIVERSITY
27, UNIVERSITY OF CALIFORNIA AT BERKELEY
28, UNIVERSITY OF TORONTO
29, UNIVERSITY OF MANCHESTER
30, PEKING UNIVERSITY
31, KING'S COLLEGE LONDON
32, UNIVERSITY OF CALIFORNIA AT LOS ANGELES
33, MCGILL UNIVERSITY
34, NORTHWESTERN UNIVERSITY
35, KYOTO UNIVERSITY
36, SEOUL NATIONAL UNIVERSITY
37, HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY
38, LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE
39, UNIVERSITY OF MELBOURNE
40, KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
41, UNIVERSITY OF CALIFORNIA AT SAN DIEGO
42, UNIVERSITY OF SYDNEY
43, NEW YORK UNIVERSITY
44, FUDAN UNIVERSITY
45, UNIVERSITY OF NEW SOUTH WALES
46, CARNEGIE MELLON UNIVERSITY
47, UNIVERSITY OF BRITISH COLUMBIA
48, UNIVERSITY OF QUEENSLAND
49, CHINESE UNIVERSITY OF HONG KONG
50, PSL UNIVERSITY
51, UNIVERSITY OF BRISTOL
52, DELFT UNIVERSITY OF TECHNOLOGY
53, UNIVERSITY OF WISCONSIN-MADISON
54, UNIVERSITY OF WARWICK
55, CITY UNIVERSITY OF HONG KONG
56, BROWN UNIVERSITY
57, UNIVERSITY OF AMSTERDAM
58, TOKYO INSTITUTE OF TECHNOLOGY
59=, MONASH UNIVERSITY
59=, SHANGHAI JIAO TONG UNIVERSITY
61, TECHNISCHE UNIVERSITÄT MÜNCHEN
62, LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN
63, UNIVERSITY OF TEXAS AT AUSTIN
64, RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG
65, ECOLE POLYTECHNIQUE
66, UNIVERSITY OF WASHINGTON
67, OSAKA UNIVERSITY
68, ZHEJIANG UNIVERSITY
69=, GEORGIA INSTITUTE OF TECHNOLOGY
69=, UNIVERSITY OF GLASGOW
71, UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN
72, NATIONAL TAIWAN UNIVERSITY
73, UNIVERSIDAD DE BUENOS AIRES
74, DURHAM UNIVERSITY
75=, SORBONNE UNIVERSITY
75=, UNIVERSITY OF SHEFFIELD
77, TOHOKU UNIVERSITY
78, UNIVERSITY OF ZURICH
79=, UNIVERSITY OF BIRMINGHAM
79=, UNIVERSITY OF COPENHAGEN
81, KATHOLIEKE UNIVERSITEIT LEUVEN
82, UNIVERSITY OF NOTTINGHAM
