Rank,X,University name,scholarly_output_2017,citation_count_2016,citation_count_growth_acc,publications_in_top_1percent_journal_2017,publications_in_top_5percent_journal_growth_acc,outputs_in_top_1percent_citation_2016,outputs_in_top_10percent_citation_2016,outputs_in_top_25percent_citation_2016,outputs_in_top_25percent_citation_avg,top_500_authors_citacions_avg,outputs_in_top_10percent_citation_articles_only_2017,outputs_in_top_25percent_citation_articles_only_2017,citations_per_publication_articles_conference_papers_avg,citations_per_publication_articles_conference_papers_growth,outputs_in_top_10percent_citation_articles_reviews_conference_papers_growth,outputs_in_top_10percent_citation_avg,outputs_in_top_1percent_citation_avg,class,class1
1,0, Massachusetts Institute of Technology (MIT),9152,182475,-5731.333333,678,98,668,2999,4923,4829,3351.35,1979,3408,18.581957,-6.489583,-42,2841.2,596.0,class_0,2
2,1, Stanford University,14149,269462,-19774.666667,1025,-257,842,4052,7112,7169,3023.812,114,205,8.567749,-3.113051,-64.5,4023.0,839.4,class_0,2
3,2, Harvard University,30960,533035,-11200,2305,596,1730,8862,15796,15645.4,3425.436,5717,10846,3.518836,-0.689021,41,8584.2,1645.0,class_0,2
4,3, University of Oxford,4541,95359,562.333333,251,228,283,1501,2552,2531.4,5289.31,128,302,18.409113,-6.344235,-27.25,1487.2,274.8,class_0,2
5,4, California Institute of Technology (Caltech),14438,235475,-7942,769,-96,699,3815,7021,6849,3111.944,2388,4779,17.559892,-6.534668,6,3632.8,621.6,class_0,2
6,5, ETH Zurich (Swiss Federal Institute of Technology),11755,204040,-10087.333333,748,248,598,3377,5947,5767,2726.282,2702,4842,17.9499,-6.026245,-2.25,3139.0,552.8,class_0,2
7,6, University of Cambridge,7992,120097,-4822.666667,504,282,315,2216,4191,4199.8,2038.226,1513,3025,14.543067,-4.910162,12.25,2194.8,319.0,class_0,2
8,7, UCL (University College London),12292,194847,-13585,686,-18,515,3175,5927,5895.8,2864.122,2552,4893,4.181868,-1.18607,99,3113.0,528.6,class_0,2
9,8, Imperial College London,8865,158130,-6762,516,272,458,2521,4400,4353.2,4858.018,2122,3970,3.889426,-1.121447,-34.25,2404.4,441.8,class_0,2
10,9, University of Chicago,15435,230747,-10247.333333,795,85,622,3894,7323,7225.2,2575.902,2946,5795,5.559501,-1.747176,71.5,3730.2,610.6,class_0,2
11,10, Nanyang Technological University (NTU),9701,129711,-3775,540,27,355,2302,4384,4357,1173.248,264,510,1.626747,-0.348684,33.75,2241.4,359.8,class_0,2
12,11, National University of Singapore (NUS),8009,109952,-5962.666667,513,56,349,1841,3352,3312.8,454.494,1736,3142,17.167115,-5.795886,-5.25,1763.8,340.6,class_0,2
13,12, Princeton University,4572,76070,-5551.333333,242,45,248,1308,2272,2309.2,1431.982,1000,1813,17.291885,-6.010454,31,1283.0,238.4,class_0,2
14,13, Cornell University,8818,139985,-4329,485,-148,403,2323,4360,4318.4,1535.624,1706,3285,17.027526,-5.945599,-1.5,2244.0,388.6,class_0,2
15,14, University of Pennsylvania,9178,148950,-9924,546,378,451,2564,4656,4557,1727.036,1937,3623,18.254276,-6.263291,-90.75,2455.4,436.4,class_0,2
16,15, Tsinghua University,11294,176687,-7193,736,245,531,2908,5397,5301.6,2107.858,2375,4297,17.938101,-6.23286,-58,2801.8,517.6,class_0,2
17,16, Yale University,14626,165958,-19565.333333,707,214,460,2978,5654,5662.4,1551.982,492,942,2.239735,-0.249455,253,2915.0,472.4,class_0,2
18,17, Columbia University,7529,118676,-1378.333333,377,-80,323,1781,3359,3337.4,1834.868,1390,2708,18.021081,-6.095599,31.25,1715.6,304.8,class_0,2
19,18, Ecole Polytechnique Fédérale de Lausanne (EPFL),11870,180123,-5278.666667,704,60,535,2969,5590,5636.2,1907.872,1930,3743,6.936689,-2.123315,-39.75,2949.2,527.8,class_0,2
20,19, University of Edinburgh,14429,199295,-13735,709,51,527,3417,6538,6534.8,2241.614,2926,6136,16.300397,-5.777458,65.75,3283.2,507.4,class_0,2
21,20, University of Michigan,13581,215131,-9629.666667,798,55,547,3493,6687,6654.4,2067.166,3102,6225,8.025223,-2.896083,-3.75,3390.8,564.2,class_0,2
22,21, Peking University,4760,79829,2321.333333,286,37,218,1236,2311,2294.2,1438.758,253,454,20.874908,-7.834876,-0.75,1193.0,201.6,class_0,2
23,22, The University of Tokyo,11968,126266,-419.333333,356,414,280,2023,4401,4557.4,2023.438,62,117,12.525912,-4.33389,-30.75,2013.8,257.6,class_0,2
24,23, Johns Hopkins University,4912,68500,-8422.666667,186,129,168,1054,2067,2027,1013.642,739,1528,1.93628,-0.44561,14.25,975.2,144.8,class_0,2
